"year","last_name, first_name","player_id","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
2022,"Ortega, Rafael",542364,371,250,0.241,0.241,0,0.358,0.346,0.012,0.305,0.307,-0.002
2022,"Wendle, Joey",621563,371,301,0.259,0.25,0.00900000000000001,0.36,0.331,0.029,0.289,0.276,0.013
2022,"Bradley Jr., Jackie",598265,370,269,0.203,0.223,-0.02,0.311,0.33,-0.019,0.252,0.268,-0.016
2022,"Davis, J.D.",605204,365,198,0.248,0.242,0.00600000000000001,0.418,0.469,-0.051,0.333,0.351,-0.018
2022,"Margot, Manuel",622534,363,269,0.274,0.264,0.01,0.375,0.357,0.018,0.308,0.299,0.00900000000000001
2022,"Cruz, Oneil",665833,361,206,0.233,0.223,0.01,0.45,0.41,0.04,0.32,0.304,0.016
2022,"Rivera, Emmanuel",656896,359,248,0.233,0.238,-0.00499999999999998,0.409,0.41,-0.001,0.306,0.31,-0.004
2022,"Vierling, Matt",663837,357,261,0.246,0.275,-0.029,0.351,0.404,-0.053,0.285,0.324,-0.039
2022,"De La Cruz, Bryan",650559,355,243,0.252,0.287,-0.035,0.432,0.498,-0.066,0.313,0.355,-0.042
2022,"McCarthy, Jake",664983,354,249,0.283,0.249,0.034,0.427,0.357,0.07,0.337,0.298,0.039
2022,"Kelly, Carson",608348,354,250,0.211,0.225,-0.014,0.334,0.345,-0.011,0.275,0.288,-0.013
2022,"Trevino, Jose",624431,353,274,0.248,0.239,0.00900000000000001,0.388,0.364,0.024,0.293,0.281,0.012
2022,"Dalbec, Bobby",666915,353,203,0.215,0.216,-0.001,0.369,0.379,-0.01,0.287,0.296,-0.00900000000000001
2022,"Toro, Abraham",647351,352,263,0.185,0.226,-0.041,0.324,0.372,-0.048,0.246,0.284,-0.038
2022,"Anderson, Tim",641313,351,277,0.301,0.297,0.004,0.395,0.432,-0.037,0.323,0.336,-0.013
2022,"Haase, Eric",606992,351,229,0.254,0.239,0.015,0.443,0.399,0.044,0.322,0.302,0.02
2022,"Pujols, Albert",405395,351,258,0.27,0.262,0.00800000000000001,0.55,0.499,0.051,0.38,0.365,0.015
2022,"González, Luis",670768,350,241,0.251,0.215,0.036,0.357,0.306,0.051,0.299,0.268,0.031
2022,"Velazquez, Andrew",623205,349,212,0.196,0.202,-0.00600000000000001,0.304,0.312,-0.00800000000000001,0.239,0.246,-0.00700000000000001
2022,"Nootbaar, Lars",663457,347,224,0.228,0.247,-0.019,0.448,0.414,0.034,0.342,0.346,-0.00399999999999995
2022,"Celestino, Gilberto",665482,347,236,0.238,0.219,0.019,0.302,0.294,0.00800000000000001,0.28,0.27,0.01
2022,"Franco, Wander",677551,344,285,0.277,0.285,-0.00799999999999995,0.417,0.408,0.00900000000000001,0.323,0.331,-0.00800000000000001
2022,"Sánchez, Jesús",660821,343,222,0.214,0.226,-0.012,0.403,0.383,0.02,0.298,0.298,0
2022,"Taveras, Leody",665750,341,230,0.261,0.226,0.035,0.366,0.318,0.048,0.297,0.267,0.03
